x,y
50,50
50,50
50,50
111.5,67
292.5,68
353.5,70
373.5,60
517.5,65
700.5,65
749.5,124
748.5,294
746.5,479
677.5,536
496.5,539
320.5,541
74.5,538
59.5,467
60.5,266
79.5,61
291.5,71
598.5,69
748.5,106
751.5,304
740.5,527
460.5,544
115.5,545
60.5,432
75.5,150
194.5,62
480.5,68
737.5,74
751.5,158
757.5,242
740.5,501
573.5,557
329.5,546
98.5,540
58.5,385
67.5,177
113.5,64
410.5,74
673.5,69
753.5,164
756.5,403
594.5,553
217.5,546
62.5,422
56.5,129
322.5,54
616.5,60
748.5,151
745.5,420
712.5,552
451.5,550
169.5,550
69.5,463
56.5,250
65.5,71
373.5,60
715.5,70
747.5,216
744.5,500
548.5,547
180.5,551
65.5,419
54.5,106
129.5,60
552.5,66
749.5,104
747.5,388
655.5,546
252.5,541
65.5,445
67.5,91
356.5,58
723.5,72
753.5,387
603.5,545
178.5,545
59.5,419
59.5,419
59.5,419
59.5,419
59.5,419
59.5,419
